# log n	log T	log cool/n2	log heat/n2
  0.00	 1.00	    -27.893	    -24.302
  0.00	 1.25	    -27.267	    -24.306
  0.00	 1.50	    -26.491	    -24.311
  0.00	 1.75	    -25.916	    -24.317
  0.00	 2.00	    -25.457	    -24.324
  0.00	 2.25	    -25.037	    -24.333
  0.00	 2.50	    -24.720	    -24.344
  0.00	 2.75	    -24.515	    -24.357
  0.00	 3.00	    -24.377	    -24.372
  0.00	 3.25	    -24.268	    -24.391
  0.00	 3.50	    -24.132	    -24.414
  0.00	 3.75	    -23.894	    -24.442
  0.00	 4.00	    -23.329	    -24.477
  0.00	 4.25	    -21.829	    -24.912
  0.00	 4.50	    -21.958	    -26.013
  0.00	 4.75	    -21.634	    -26.195
  0.00	 5.00	    -21.276	    -26.565
  0.00	 5.25	    -21.310	    -27.024
  0.00	 5.50	    -21.465	    -27.384
  0.00	 5.75	    -21.746	    -27.718
  0.00	 6.00	    -21.814	    -27.970
  0.00	 6.25	    -21.967	    -28.228
  0.00	 6.50	    -22.387	    -28.609
  0.00	 6.75	    -22.502	    -28.971
  0.00	 7.00	    -22.491	    -29.253
  0.00	 7.25	    -22.640	    -29.523
  0.00	 7.50	    -22.660	    -29.804
  0.00	 7.75	    -22.583	    -30.045
  0.00	 8.00	    -22.489	    -30.295
  0.00	 8.25	    -22.390	    -30.526
  0.00	 8.50	    -22.280	    -30.625
  0.00	 8.75	    -22.158	    -30.611
  0.00	 9.00	    -22.026	    -30.534
