# log n	log T	log cool/n2	log heat/n2
  0.00	 1.00	    -27.891	    -24.292
  0.00	 1.25	    -27.265	    -24.295
  0.00	 1.50	    -26.489	    -24.300
  0.00	 1.75	    -25.914	    -24.305
  0.00	 2.00	    -25.456	    -24.312
  0.00	 2.25	    -25.035	    -24.320
  0.00	 2.50	    -24.719	    -24.330
  0.00	 2.75	    -24.513	    -24.342
  0.00	 3.00	    -24.375	    -24.357
  0.00	 3.25	    -24.267	    -24.375
  0.00	 3.50	    -24.131	    -24.397
  0.00	 3.75	    -23.893	    -24.424
  0.00	 4.00	    -23.329	    -24.456
  0.00	 4.25	    -21.827	    -24.848
  0.00	 4.50	    -21.957	    -25.534
  0.00	 4.75	    -21.634	    -25.612
  0.00	 5.00	    -21.276	    -25.626
  0.00	 5.25	    -21.310	    -25.651
  0.00	 5.50	    -21.465	    -25.659
  0.00	 5.75	    -21.746	    -25.663
  0.00	 6.00	    -21.814	    -25.664
  0.00	 6.25	    -21.967	    -25.665
  0.00	 6.50	    -22.387	    -25.665
  0.00	 6.75	    -22.502	    -25.665
  0.00	 7.00	    -22.491	    -25.665
  0.00	 7.25	    -22.640	    -25.665
  0.00	 7.50	    -22.660	    -25.665
  0.00	 7.75	    -22.583	    -25.665
  0.00	 8.00	    -22.489	    -25.665
  0.00	 8.25	    -22.390	    -25.665
  0.00	 8.50	    -22.280	    -25.665
  0.00	 8.75	    -22.158	    -25.665
  0.00	 9.00	    -22.026	    -25.665
